species,param,est
Verdin,(Intercept),-1.224320937815218
Verdin,precip,0.20874992893396105
Verdin,tmin,-0.0509041601445657
Verdin,precip_sq,-0.07487089962146032
Verdin,tmean,0.15294625323573968
Verdin,tmax,-0.04307010373122074
Verdin,latitude,0.057925060865479584
Verdin,longitude,-0.0955393479643211
Verdin,precip:tmin,-0.05742612586238939
Bells_Vireo,(Intercept),-2.0172212122317963
Bells_Vireo,precip,-0.005268178931736289
Bells_Vireo,tmin,-0.36023576466854973
Bells_Vireo,precip_sq,0.004498757401581719
Bells_Vireo,tmean,0.3943730076804115
Bells_Vireo,tmax,-0.14150668414496748
Bells_Vireo,latitude,0.15872738163662495
Bells_Vireo,longitude,0.07763133713714358
Bells_Vireo,precip:tmin,-0.013667626837467447
Black-tailed_Gnatcatcher,(Intercept),-1.8454729888580685
Black-tailed_Gnatcatcher,precip,0.09722645851245364
Black-tailed_Gnatcatcher,tmin,-0.08524494524885204
Black-tailed_Gnatcatcher,precip_sq,-0.009391112605370141
Black-tailed_Gnatcatcher,tmean,0.17707080561561367
Black-tailed_Gnatcatcher,tmax,-0.09774739003507991
Black-tailed_Gnatcatcher,latitude,0.057522123134523824
Black-tailed_Gnatcatcher,longitude,-0.0920288302944908
Black-tailed_Gnatcatcher,precip:tmin,-0.00910266364073146
Crissal_Thrasher,(Intercept),-2.6913800742436305
Crissal_Thrasher,precip,0.05118239693291541
Crissal_Thrasher,tmin,-0.16243529335148937
Crissal_Thrasher,tmean,0.32517230431612015
Crissal_Thrasher,tmax,-0.18889412746808187
Crissal_Thrasher,latitude,0.13724302601200836
Crissal_Thrasher,latitude_sq,-0.038115767058896015
Crissal_Thrasher,longitude,0.009426338279723832
Crissal_Thrasher,precip:tmin,0.01928431607348603
